Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Breaking the Anxiety Habit,"<p>For many of us, anxiety is a partner on our journey of life: it is always there. But a helpful reframe could also be the idea that anxiety is a habit we have created. And the good news is that habits are something we can break. In this course, two well respected experts—Dr. Judson Brewer and Charles Duhigg—weigh in on how to recognize the anxiety habit at work, as well as steps you can take to break the habit. </p>

<p>This course was created by Morra Aarons-Mele of The Anxious Achiever. We are pleased to offer this insightful discussion in our library.</p>",Course,2025-04-02 04:18 UTC,N/A,false,N/A,
Objectified,"On an average day, each of us uses hundreds of objects. (Don't believe it? Start counting: alarm clock, light switch, faucet, shampoo bottle, toothbrush, razor…) But who makes all these things, and why do they look and feel the way they do? How can good design make objects, and our lives, better?<br><br>

<em>Objectified</em> is a documentary about industrial design; it's about the manufactured objects we surround ourselves with, and the people who make them. Gary Hustwit, the director of <em>Helvetica</em>, talks with Dieter Rams, Marc Newson, Jonathan Ive, and other renowned designers behind some of the world's most iconic products. lynda.com is proud to offer this film to our members, along with over one hour of online-exclusive bonus movies.",Course,2019-12-23 14:03 UTC,N/A,false,N/A,
Python Essential Training (2022),"Python is one of the most used dynamic languages for many large organizations, including Google, Yahoo, and IBM. Supported on all major operating systems, it comes pre-installed on Macs, and most Linux and Unix-based systems. In this course, instructor Ryan Mitchell gives you a comprehensive, accessible overview of Python 3. Ryan covers topics required for day-to-day programming in Python, including data types, data structures, operators and statements, control flow, loops, functions, classes, exception handling, and file management. If you’re just starting out on a computer programming journey and want to learn how to write Python programs to accomplish a wide variety of tasks, join Ryan in this course to start building a solid foundation to a Python career.",Course,2022-10-13 06:56 UTC,N/A,false,N/A,
"Introduction to ESG: Environmental, Social, and Governance","In this course, instructor Fulya Kocak Gin explains what the environmental, social, and governance (ESG) umbrella encompasses, why there is an increasing momentum around ESG, why corporations are expected to address their impact in environmental and social aspects of their businesses, and how governance plays into these efforts. Fulya covers foundational concepts under each one of the E, S, and G areas. She connects the dots between traditional social responsibility and sustainability projects and business performance, sustainable investing, and risk management.",Course,2022-12-04 15:50 UTC,N/A,false,N/A,
Coaching Yourself and Your Team from Uncertainty to Action,"How do you plan for the future when the present is riddled with uncertainty?

In times of uncertainty, say a global pandemic that throws the landscape of work and life into a chaotic state—purposeful leadership skills will meet the challenge.

In this course, executive coach Joshua Miller answers that question with clarity.
Understanding the what and why of uncertainty and change gives valuable insight, setting the foundation for learning how.

After this course, you'll be better prepared to meet uncertainty at the moment and successfully prepare for a rapidly changing future.",Course,2022-02-07 06:41 UTC,2022-02-07 06:37 UTC,false,N/A,
Learning Cloud Data Storage,"Most businesses are moving data storage to the cloud to access data at scale with speed. But how do you choose a provider? What kind of plan will your company need? Joseph Lowery walks through these questions and more, in this course on researching and choosing a cloud data storage provider. Learn how to calculate your costs; investigate the options from providers such as Google, Amazon, HP, and Microsoft; and handle issues related to latency, security, and scalability. Joe also includes a short case study around setting up a cloud storage solution with Amazon Web Services, one of the most popular solutions.",Course,N/A,N/A,true,N/A,
ArcGIS Essential Training,"Learn to create and manage data, maps, and analytical models with ArcGIS. Author Adam Wilbert shows how to get around maps and start adding your own data and importing data from existing databases. He demonstrates how to select and edit individual map elements, and connect to advanced geospatial data sources. He explains the finer points of working with vector vs. raster data, and then shows how to style your map so it's easy for others to interpret, including finishing touches such as a legend, scale bar, and annotations. Plus, learn how to use ModelBuilder to sequence workflows and share them with the rest of your organization.",Course,N/A,N/A,true,N/A,
UXPin for UX Design (2017),"Provide stakeholders with realistic, interactive prototypes so they can test and experience the intuitiveness of your designs. You can accomplish this by using a tool with features that help you achieve current user experience (UX) industry standards. In this course, learn how to use the popular UXPin platform to create wireframes, enhance mockups, add animation, share interactive prototypes, test responsiveness, and more. Discover how to create layouts for devices ranging from smartphones to tablets to desktops, and learn how to work with layered design files from Photoshop or Sketch.",Course,N/A,N/A,true,N/A,
What Is a PMO?,Many businesspeople still don’t understand what a project management office (PMO) is or what it does. Learn about the purpose of a PMO and why it is so important to the success of a modern business in this course with PMP Andy Jordan. Andy compares the different PMO models and identifies the roles a PMO plays in business planning and strategy execution. This brief course can help you apply the concept of a PMO to your own business and identify opportunities to optimize project delivery and achieve better results.,Course,2020-12-04 11:17 UTC,N/A,false,N/A,
Python for Data Science Essential Training,"By using Python to glean value from your raw data, you can simplify the often complex journey from data to value. In this practical, hands-on course, learn how to use Python for data preparation, data munging, data visualization, and predictive analytics. Instructor Lillian Pierson, P.E. covers the essential Python methods for preparing, cleaning, reformatting, and visualizing your data for use in analytics and data science. She helps to provide you with a working understanding of machine learning, as well as outlier analysis, cluster analysis, and network analysis. Plus, Lillian explains how to create web-based data visualizations with Plot.ly, and how to use Python to scrape the web and capture your own data sets.",Course,N/A,N/A,true,N/A,
Implementing an Information Security Program,"Building and operating an information security program at your organization can be challenging. The scope can be vast and complex. Thinking of all the ways an organization can fail and coming up with actionable measures you can take to prevent issues, mitigate risk, or recover from events is a large undertaking. In this course, Kip Boyle, president of Cyber Risk Opportunities, guides you through the entire process of creating an information security program, rolling it out to your organization, and maintaining it for continuous risk management.",Course,2021-09-10 16:35 UTC,N/A,false,N/A,
JavaScript: Patterns,"For the past two decades, programmers have structured both their code and their conversations about code around the patterns first described in <i>Design Patterns</i>, the classic Gang of Four book. JavaScript programmers have participated in these conversations, but the patterns discussed mostly fit in the world of orthodox object-oriented programming. In this course, Emmanuel Henri explains how these patterns fit with JavaScript. He demystifies the purpose of some of the most common patterns, providing code examples along the way. Learn about key creational, structural, and behavioral design patterns, and how you can apply each of them in your JavaScript code.",Course,2021-10-05 05:08 UTC,N/A,false,N/A,
"Data Quality: Measure, Improve, and Enforce Reliable Systems","Data quality is the foundation of reliable analytics, trustworthy dashboards, and effective machine learning. In this course, instructor Smriti Mishra explores the core concepts of data quality and shows you how to apply best practices to improve outcomes across the data lifecycle. From understanding quality dimensions to building validation checks in Python and integrating them into data pipelines, this course equips you with practical tools for managing data quality more effectively in real-world environments. Along the way, Smriti highlights how poor-quality data can undermine AI models, distort business intelligence, and compromise strategic decision-making. This course is designed for data professionals who want to create more trustworthy, efficient, high-performing data systems.",Course,2025-12-13 14:05 UTC,N/A,false,N/A,
Improve Your ITIL® Skills,"ITIL® is a popular framework for IT service management. This learning path is designed to prepare you for the popular Foundations certification, as well as provide advice on how to implement it in the real world, and generally better align IT services with the needs of your business.",Learning Path,2020-01-28 09:33 UTC,N/A,false,N/A,
Advance Your PHP Skills,"Deepen your core PHP knowledge by leveraging more of the built-in functionality and libraries. Discover how to use the provided data structure, iterators, interfaces, exceptions, and classes to get the job done.
",Learning Path,2020-01-28 09:36 UTC,N/A,false,N/A,
Advance Your Skills in Predictive Analytics,"Predictive analytics is one of the richest disciplines within the realm of data science. As the tools and techniques for using data to predict future outcomes have evolved, business and data analysis professionals can use this learning path to stay up to date with the latest advancements.",Learning Path,2022-02-06 08:35 UTC,N/A,true,N/A,
Advance Your Business Analytics Skills,"Business analytics uses data to solve business challenges, and it's transforming the world of business. This learning path equips you to understand and deploy analytics, covering fundamentals, popular tools, predictive analytics, data visualization, and effective communication of insights.",Learning Path,2022-11-19 16:25 UTC,N/A,true,N/A,
Advance Your Skills in AI and Machine Learning,"Ready to take your AI and machine learning skills to the next level? This comprehensive learning path equips you with the knowledge and tools to thrive in the field. Learn how to harness data, build and optimize models, and manage AI operations. Explore deep learning, reinforcement learning, and GANs. Gain the expertise to create impactful AI solutions and drive innovation. Start your journey to becoming an AI expert today.",Learning Path,2022-01-21 05:23 UTC,N/A,true,N/A,
Start and Manage a Small Business,"Start your own business and manage it well from the start. From clarifying your business idea to managing the legal, financial, and operational aspects of your business, you'll learn everything you need to know to successfully launch and manage your own small business.",Learning Path,2023-06-09 04:40 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaLearningPath:56db26313dd5596be4e49897,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaLearningPath:56db26313dd5596be4e49897,Learning Path,2018-07-31 07:29 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaLearningPath:5a148d53498e47e9f9c70aaf,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaLearningPath:5a148d53498e47e9f9c70aaf,Learning Path,2022-02-06 08:03 UTC,N/A,false,N/A,
Advance Your Career as an Individual Contributor,Develop the skills that make you a high performer and an invaluable asset to your team and organization.,Learning Path,N/A,N/A,true,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaLearningPath:589cb315498ed6219e3e6c45,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaLearningPath:589cb315498ed6219e3e6c45,Learning Path,2018-03-22 04:27 UTC,N/A,false,N/A,
Develop the Skills to Drive Innovation in Your Organization,"Innovation can be risky, but when successful, it can propel companies forward. This learning path will help you to drive innovation in your organization by creating a culture where employees feel encouraged to take strategic risks, evaluate new opportunities, and collaborate across teams.",Learning Path,2018-08-22 07:51 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaLearningPath:5d8bb5f9498e3236cc92196a,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaLearningPath:5d8bb5f9498e3236cc92196a,Learning Path,2020-01-28 09:32 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaLearningPath:5a149ce7498ef142c0e8c1b5,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaLearningPath:5a149ce7498ef142c0e8c1b5,Learning Path,2018-07-28 08:24 UTC,N/A,false,N/A,
"Foundations of Cloud Computing: Models, Platforms, Services, and Careers","Gain a deeper understanding of what cloud computing is: the benefits, services, options, and top platforms. Learn about securing your applications in the cloud, storage options available, and certifications that can advance your career in cloud computing.",Learning Path,2020-01-28 09:32 UTC,N/A,false,N/A,
Building Trust and Collaborating with Others,"Learn how to develop and maintain collaborative, constructive, and cooperative working relationships. Identify opportunities to connect teams, departments, units, and organizations. Discover how to interact with others and give them confidence in the intentions of you and your organization.",Learning Path,2021-01-10 11:54 UTC,N/A,false,N/A,
Getting Started with Cloud Development,"Explore the Cloud Development services offered by leading public cloud platforms Amazon Web Services, Microsoft Azure, and Google Cloud Platform.",Learning Path,2020-01-28 09:32 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaLearningPath:5a1491ca498ef142c0e8c1b0,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaLearningPath:5a1491ca498ef142c0e8c1b0,Learning Path,2021-07-21 14:06 UTC,N/A,false,N/A,
Master the Concepts of Data Visualization and Storytelling,Data visualization continues be one of the most in-demand skills as business and enterprises of all types pivot to being data-driven. This learning path is designed for data- and analytics workers and professionals of all levels who want to build superior interpretive and communications skills in the art of data visualization and storytelling.,Learning Path,2022-11-12 13:23 UTC,N/A,true,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaLearningPath:5bb5281c498e2d091901a5ab,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaLearningPath:5bb5281c498e2d091901a5ab,Learning Path,2019-02-25 12:15 UTC,N/A,false,N/A,
Become a Full-Stack Web Developer,"Get the skills to work with both back-end and front-end technologies as a full-stack developer. You'll develop a solid foundation for working with servers and host configurations, performing database integrations, and creating dynamic, data-driven websites.",Learning Path,2022-02-06 08:03 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaLearningPath:5a7e13cf498e0ffa727bc0c4,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaLearningPath:5a7e13cf498e0ffa727bc0c4,Learning Path,2019-09-25 11:50 UTC,N/A,false,N/A,
Time Management Fundamentals (2016),"Effective time management is an indispensable skill. Best-selling author and business coach Dave Crenshaw lays the theoretical and practical foundations for managing your time and becoming more productive.<br><br>

Learn how to get more done in the shortest time possible and avoid the obstacles and distractions that can get in the way of good time management. Dave gives practical strategies for increasing productivity in three main areas: developing habits to be more organized and reducing clutter in your workspace; staying mentally on task and eliminate the to-dos you have floating in your head; and developing a time budget to get the most done during your workday and focus on your most valuable activities.",Course,2021-04-06 16:20 UTC,N/A,false,N/A,
JavaScript: Templating,"JavaScript templates take simple web apps to the next level, keeping your application logic separate from your presentation and your HTML and JS files clean. This course provides a look at popular JavaScript template solutions for modern web apps that consume and display data. Joe Marini reviews four popular templating libraries: JQuery Template, a simple solution that plugs straight into jQuery; Handlebars and Mustache, which provide greater flexibility; and Dust, the templating engine for more complex scenarios.",Course,N/A,N/A,true,N/A,
Shopify Essential Training (2018),"This course takes you through how to use Shopify-the popular, hosted ecommerce solution-to run an online store. Author Patrick Rauland helps you select a visual theme, list products for sale, manage inventory, add payment options, configure shipping settings, and manage orders. He also demonstrates how to add pages to your online store's site, post content, add apps, run reports, and more. Along the way, he offers tips and best practices for running a successful online store.",Course,N/A,N/A,true,N/A,
Certified Business Analysis Professional (CBAP)® Cert Prep,"Taking the Certified Business Analysis Professional™ (CBAP®) exam is a big step, and a great move for your career. CBAP® certification proves that you have the knowledge and the experience to lead projects to success. Jamie Champagne has helped hundreds of professionals train for this exam, and she’s prepared this online course to share her proven study tips and techniques with you. Review the certification requirements, including the 7,500 hours of hands-on experience required to sit for the exam. Then study the key objectives: the Business Analyst Core Concept Model™, the six knowledge areas, and essential business analysis techniques, as well as the vocabulary needed to work in the field. Jane also provides tips and practice worksheets to test your knowledge and prepare for exam day.",Course,2021-12-06 16:33 UTC,N/A,false,N/A,
IoT Foundations: Device Management,"Whether you're managing a few smart sensors or a large-scale network of connected devices, effective and sustainable device management is key to long-term success. In this course, instructor Ryan Hu introduces the core principles of IoT device management and guides you through building connected systems that are easy to monitor, maintain, and troubleshoot. Explore essential topics such as system architecture, key functionalities, and widely adopted standards and protocols. Learn about industry-leading frameworks like LightweightM2M and oneM2M, and see how to implement cloud-based device management solutions to streamline operations and ensure scalability. By the end of the course, you’ll have a solid foundation to confidently manage IoT deployments of any size.",Course,N/A,N/A,true,N/A,
Agile Requirements Foundations,"<p>Customer needs change every day. We need our products to keep up. Take an agile approach to requirements analysis: Learn the mindset and techniques necessary to discover requirements for an agile project and succeed in the business analyst (BA) role. Angela Wick reviews the 12 agile principles from a BA's perspective, introduces backlog management techniques, and discusses techniques such as product decomposition, user stories and story maps, which help BAs deliver products that truly delight customers. Plus, find out what concepts such as ""minimum viable product"" and ""value stream"" mean to people in the BA role.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-business-analysis-by-microsoft-and-linkedin"">Professional Certificate</a> from Microsoft.</p>",Course,2018-04-04 10:12 UTC,N/A,true,N/A,
Learning SSH (2014),"Secure Shell (SSH) offers a safe way to communicate with a server and to connect to systems remotely. Consequently, SSH is a vital skill for anyone who works in IT. In this short course, Scott Simpson explains what SSH is and shows how to connect to an SSH server from different operating systems. He also demonstrates how to transfer files via SSH File Transfer Protocol (SFTP) and secure copy (SCP), and how to set up your own SSH server on Linux and Mac OS X.",Course,2022-02-06 09:44 UTC,2022-02-06 09:40 UTC,false,N/A,
Change Management Tips for Individuals,"If there’s one thing you can always rely on, it’s change. And while change has its many pros and cons, it can be harder to navigate when you’re the one having to embrace the change as opposed to initiating it. In this quick course from change management expert Dr. Eric Zackrison, learn how to go with the flow and wield organizational change to your advantage. Gain strategies for how to adapt quickly, tips on what is and isn’t in your control, and advice for how to show your bosses that you are a can-do, make-it-happen team player.

<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""20%"" width=""20%"">",Course,2022-02-03 10:30 UTC,2022-02-03 10:28 UTC,false,N/A,
Integrating Tableau and R for Data Science,"R is known as one of the most robust statistical computing solutions out there. Tableau—a leading business intelligence platform—provides excellent data visualization and exploration capabilities. When combined, Tableau and R offer one of the most powerful and complete data analytics solutions in the industry today, providing businesses with unparalleled abilities to see and understand their data. In this course, learn how to integrate these two platforms, as well as how to determine when each one is a better choice. Instructor Ben Sullins explains how to connect Tableau to R, and covers geocoding, running linear regression models, clustering, and more.",Course,N/A,N/A,true,N/A,
Requirements Elicitation and Analysis,"To define great requirements, it's not enough to simply ask customers and stakeholders what they want. By leveraging requirements elicitation and analysis techniques, business analysts can come up with more innovative solutions. In this course, explore these techniques, and learn why they're important, and how to blend them together and tailor them to your project. Angela Wick provides an overview of the process, and discusses how elicitation and analysis work together. She also covers different ways of gathering requirements—such as brainstorming, observation, and workshops—before moving on to analysis techniques such as context diagrams, user stories, and decision tables. At the conclusion of the course, she explains how to select the right approach for a particular product or project type.",Course,2022-08-29 14:50 UTC,N/A,false,N/A,
3D Content Creation for Virtual Reality,"Virtual reality is a booming industry. The technology for consumers and designers just keeps getting better. Learn how to take advantage of the newest advances in VR modeling, texturing, and rendering in this course with 3D artist and expert Craig Barr. Using Maya and Unity, you'll look at how to create assets that are efficient and effective, contributing to an overall more compelling virtual reality experience. If you're new to VR, watch the introductory chapter to get an overview of the terminology, technical considerations for designers (like refresh rate), and the most popular VR hardware, including the Oculus Rift. Craig then dives into modeling, texturing, and rendering, and offers some tips for making more sophisticated content with ambient lighting and effects. Plus, get insights on cutting-edge VR techniques, such as creating content in VR projects with Unreal Engine 4, Tilt Brush, SculptrVR, MakeVR, and more.",Course,2018-04-02 17:47 UTC,N/A,true,N/A,
Business Analytics: Marketing Data (2022),"The sales data at your organization can tell you more than how much revenue you earned. The information you’re generating can be used to produce powerful insights for your entire organization. In this focused course from John David Ariansen, you can learn how to use business analytics tools and techniques to harness your sales data and help your organization get more leads, close more deals, and ultimately grow your book of business. Discover the different challenges sales analysts encounter, the nuances of sales data collection, and how to effectively analyze sales data with tools like Excel, Power BI, and Google Analytics. Plus, learn how to create visualizations such as sales dashboards to communicate your insights in an engaging way.<br><br>

<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this content in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""25%"" width=""25%"">",Course,2022-02-06 10:31 UTC,2022-02-06 10:23 UTC,false,N/A,
Five Digital Marketing Strategies to Drive Conversions,"Conversions represent the ultimate goal of marketing efforts: turning prospects into customers. In this course, Amin Lalani guides you through five key digital marketing strategies for increased marketing conversions. Amin shares how to use targeted advertising to reach the right audience and tactics for boosting visibility. By the end of this course, you will be equipped with practical strategies and insights to boost your conversion rates and elevate your digital marketing efforts.",Course,2025-02-22 12:49 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:386287,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:386287,Course,N/A,N/A,true,N/A,
Journey Mapping: Case Study in Action,"Customer journey maps can be a powerful tool for businesses, offering a clear view into the customer's true experience with a brand, service, or product. In this practical sequel to the introductory course, instructor Jeannie Walters walks through creating an actual customer journey map from start to finish. Jeannie covers each step, including setting goals, gathering data, facilitating a journey mapping workshop, interviewing customers to validate the map, and more. Along the way, she offers plenty of tips and techniques to help focus the process and move your team toward an actionable goal. The course wraps up with ideas for presenting and sharing the completed map, leveraging the findings, and other ways to use this important tool.",Course,2021-07-25 09:48 UTC,N/A,false,N/A,
Learning Shopify (2018),"Shopify is a trusted and popular hosted ecommerce solution that provides advanced store management in a remarkably clean and easy-to-understand package. You don't need to know HTML or PHP; all you need is an email address and a password to get started.<br><br> 

<em>Learn Shopify: The Basics</em> takes you through the setup, configuration, publication, and management of your first online store using Shopify. Author Patrick Rauland helps you select a visual theme, set up products and inventory, collect payments, configure shipping, and manage orders with the Shopify dashboard. Along the way, he offers tips and best practices for running a successful online store.",Course,2018-06-30 14:14 UTC,N/A,true,N/A,
DevOps Foundations: Going Cloud Native,"Cloud native is one of the fastest growing trends in cloud computing. However, making the switch to cloud native while maintaining a large enterprise’s existing applications, architectures, and assets can be difficult. Discover a roadmap to bring the cloud-native paradigm to your organization, with minimal disruption. Engineer and instructor Karthik Gaekwad presents the information senior executives—CTOs, vice presidents, and chief architects—need to know to embrace cloud native. Explore the benefits and challenges of cloud-native platforms like Kubernetes and find out how to take the first step towards transformation: assessing your current infrastructure and planning for the future. Learn the high-level strategies that will help you succeed, and find how to prioritize efforts like DevOps, continuous integration, continuous delivery, microservices, security, and organizational alignment. Plus, get Karthik’s recommendations for aligning all the pieces of the cloud-native puzzle, so you can hit the ground running.",Course,2019-10-15 12:33 UTC,N/A,false,N/A,
SQL vs. NoSQL: Which Database Type Is Right for You?  [Audio only],"Even though relational databases are still the first choice for many developers and enterprises, NoSQL databases have become uniquely important in recent years.
With a constantly increasing volume of data that needs to be accessed from anywhere in the world, NoSQL databases are up to the challenge, but how do you know when you should use them? In this audio-only course, instructor and developer David Jones-Gilardi gives you an overview of how to choose the right database to meet the specific needs of your organization.<br><br>Discover new skills to boost your marketability as an application developer in the know. Learn the difference between relational and NoSQL databases, when to use which, and why, exploring the volume and performance requirements of each as well as the wide variety of options for modeling data. Upon completing this course, you’ll be prepared to make an informed decision and choose the database that’s best for you.",Course,2022-08-30 23:13 UTC,N/A,false,N/A,
